<<<<<<< HEAD
5 stars,The best hospital I have come across 
5 stars,Very nice service and very helpful nature of staff 
5 stars,Best service in Maharashtra 
5 stars,Really the doctors and the stuffs are very supportive..... 
5 stars,The hospital you trust to care for those you love. 
5 stars,Good and clean hospital 
5 stars,Excellent hospital in Kondhwa 
5 stars,Very co operative 
5 stars,"Olive Hospital is the best hospital I ever experienced. Staff here are fabulous and gives 100% attention to the patients. Special THANKS to Dr. Swapneel Patil & Dr. Misbaah Miza. Both are superb👌Hats-off. They both are doing really great job😊 They are genuinely very positive, supportive and dedicated towards their work. I pray to God🙏 both keep doing their best in their future carrier🙏!!! All the best!👍
Thank you so much for your support!!!!🙏😊😊

I genuinely recommend Olive Hospital 🏥 & Inaara Clinic for complete women care (Obstetrician & Gynaecologist) in Pune. "
5 stars,"Here in this hospital I had brought my wife due to stomach ache, all the doctors are here.
Yes, the disease has also gone away, Dr Suhas Rajput is a very good doctor, Dr Naseem has given me a lot
Help me and the bill didn't get charged too much. This hospital is very clean and my money too
Not that much damage. Thank you "
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
=======
Rating,Review
5 stars,"To be true to the experience out here had a very beautiful experience. My stay in dengue was very very good . Doctors are professional and specially the support stuff and the immense support and help at all times is very professional. It is not a place where they would want to extract money from you but will make sure you receive your due help and support altogether.
Had the best experience and was here for 5 days and Dr.Naseem is the backbone of this hospital and always a smiling and gracious lady at your service. "
5 stars,"I am very happy how i was treated in Olive hospital. Kind treatment given to overcome from critical situation. Well hygeine maintained in hospital . All the supporting and medical staff are polite and genuine. Senior medical staff , doctors and consultant keen to give best possible treatment .
Tons of thanks. "
5 stars,"Olive Hopsital did a great job with my first ever maternity experience . The doctors were well experienced, and trained specially Dr Sushmita Nimbalkar who gave us the confidence and support throughout our maternity journey, and did a normal delivery. The hospital staff explained everything to me in a very clear manner. Other staff was also kind and friendly. All of the staff was great – they were helpful, patient and helped with my insurance.
Thank you. "
5 stars,Good service with very good staff. This has been my second visit her for treatment of my nephew and I liked the treatment he got from the whole staff. He is now fit and fine and I would like to thanks Dr Nasim and whole staff for the treatment and support 
5 stars,"One of the best hospitals in kondhwa area. First hospital in kondhwa i came across which is clean, resident doctors are experienced, well mannered, and handle emergency situations smoothly and explain everything to you properly. Also the reception staff is polite which is a rare thing to see in hospitals! "
5 stars,"I am highly delighted to share my views for Dr. Nasim’s Olive Hospital, Kausar Baugh Pune, is incredible. Not only has she taken great care of my mother in law’s health (Mariyam Khatri), but also she is lovely to speak with at every appointment.  It’s rare to find a doctor that combines such personal touches and care for a patient as a person with outstanding quality of medical care. I highly recommend to my friends and relatives to this Olive Hospital, Kausar Baugh Pune. Hospital’s staff is also very concerned and helpful. Overall a great experience. "
5 stars,"Got treated here under Dr Mateen Sayyed and Dr Suhas Rajput. Was very happy overall with the staff here specially Mayuri sister and arshad brother. Would surely recommend this hospital as doctors are experienced along with nursing staff.
Hospital is also very clean! "
5 stars,"I was admitted in this hospital for treatment of non hemorrhagic infarction on emergency basis, the overall treatment I recieved was really good, the doctors are experienced, the physician who handled my case Dr Rajput is incredibly good, thanks to that I am back to being healthy now, would surely recommend this hospital for emergencies "
5 stars,"Got my plate removal surgery done here and I am thoroughly impressed with this hospital. Dr Imran Shaikh who operated me is a very experienced orthopaedic surgeon. He clearly communicated the current situation of mine and gave me all the options available for treatment. The entire staff is extremely caring and helpful. The facility itself is very well maintained and clean. The doctors also visit the patient regularly and keep a check on the patient's progress and recovery. They also suggest if any changes are to be made in the recovery schedule of the patient based on the current situation.

I would certainly recommend this hospital for any orthopedic or sports injury related issues. "
1 star,They Overcharge. Charged me ₹2500 for a 1 minute procedure of removing a small piece of eraser from my daughter's nose by their ENT specialist Dr Mateen Sayyed. Absolutely disappointed. This is in no way acceptable approach. 
5 stars,"The doctors, staff, and hospital services are all top notch. The team is really dedicated and Dr. Nasim is always happy to help. The pharmacy associated with the hospital is excellent as well. What really stays with me though is the warm and welcoming smiles of the staff at the reception desk.Dr  Rajput treatment is good . Don't see too much of that these days! Thank you for your help! "
5 stars,"My friend was admitted due to Dengue. We received authenticated and proper medical services are provided. Shabnam, sisters and all house staff was very cooperating.
Hospital is all sanitized and clean. Thank you for the care Olive Hospital. "
5 stars,Hospital services are all top notch. Dr. Sushmita is very kind n puts her 100% efforts to meet the patients need and Dr. Nasim maam is polit n very helpful. Reception team welcome you with smiles whenever you approach them for issues or qurries. Don't see too much of that these days! Thank you for your help  Olive Hospital and team😊😊😊 
5 stars,"The doctors, staff, and hospital services are all top notch. The team is really dedicated and Dr. Nasim is always happy to help. The pharmacy associated with the hospital is excellent as well. What really stays with me though is the warm and welcoming smiles of the staff at the reception desk. Don't see too much of that these days! Thank you for your help! "
5 stars,I had came here to treat my daughter here staff is very good n very professional they have a very good communication with patients. I had came under the treatment of Dr.Irphan Palla he is very good doctor . And the Receptionist is very polite and calm . she was very polite and helpful to us...thanks for all staff members for being so caring and helpful.... 
1 star,"Doesn't deserve even a star. Faculty is good, even the hospital is even good but as far as, it comes on the level of treatment it is just a place to stack money from the patients. Treatment given just to increase Dr' s visit, per day charge, and so on. I was admitted in the hospital but they just took 15,000k from me without me being cured.  I was in the same condition the day I was admitted in the hospital when I came back home.Even after being discharge, the dr charges for his visit. I was not even given the pathology bills. I was not made aware of the reports for the test done. Basically it was just a scam which the hospital has performed.  Kindly do not go to the hospital 🙏 for the treatment in case to save money, just avoid  Olive Hospital. "
5 stars,"I had a large cyst on my right ovary which had to be operated, my gynaecologist dr. Sushmita Nimbalkar was excellent she explained the procedure very well. I was not mentally prepared but she comforted me and was really helpful. The rest of the staff was also very caring, helpful and understanding. I would totally recommend it to others. "
5 stars,I have been treated here for my wisdom tooth removal very good and friendly staff.  hospital is also good  with a clean and tidy atmosphere  I like the way they treated me thank you so much 
5 stars,"This hospital has one of the best doctors in Kondhwa NIBM region. Having good infra and adequte staffs. My wife was admitted under Dr Shoeb. His diagnosis is excellent. Provided a good treatment. Moreover Dr. Naseem is the best doctor i saw. Even after full busy day, the way she was talking and checking every small details from all the reports with so much patience, calm, relaxed mood and encouraging words. It was such a pleasure to meet such doctor. I Thank her so so much for everything. This is just a small appreciation note with regards. "
5 stars,"My mother was operated here for hysterectomy in this hospital, doctors are experienced here, hospital is clean and nursing staff is also caring and helpful over here. I would recommend Olive hospital as they gave me a very good package "
4 stars,The hospital staff has been very cooperative and helpful caring to all the need of the patient...Doctors making timely visit and prescribing right medication for speedy recovery.. 
5 stars,"My mother was admitted for dengue. It was detected at early stage. Got discharge in 3 days. Very happy with the service. Special Thanks to Doctor Nasim, Doctor Muddasir and hospital staff for taking care of my mother. "
5 stars,"All together good experience,staff is vry approach able .doctors are good . As specialy doctor imran Sheikh very patient and kind  always available to treat his patients and very helpfull over the phone as well. ent specialist Dr matin sayyad is also very good and cooperative he treated my son has very good result .the front desk staff is also very humble. "
5 stars,"D and c done in this hospital, staff was very good and Dr Sushmita was very co operative, thank you "
4 stars,Hospital staff was good in response. The doctors are experienced and were available throughout the day for assistance. 
5 stars,"Doctors and staff are very cooperative, professional and caring of patients. Very clean environment and well equipped hospital. "
5 stars,"I would recommend Olive Hospital for the best service I received!  I had been suffering since a few days of dizziness in the head and Dr. Nasim rightly guided me to get my tests done at their facility, the process was very smooth and fast besides it was very reasonable as well.  I was surprised to see that they returned 20/- Rs back as the bill was corrected.  This honesty is rare in any institution leave alone hospitals, which have now become merely commercial establishments with no emotional connect.  The test results are very easy to get on to your mobile by scanning the barcode on the report, which helps a great deal.  Thank you for everything Olive MH. "
5 stars,"Very good service , happy with the hospital staff and qualified Doctora "
5 stars,Professional doctors with good experience. Very friendly staff and the hospital is also well maintained and clean. 
5 stars,"My mother in law was admitted with cardiac dysfunction. The hospital has excellent physician Dr Rajput as consultant. An experienced and able doctor. Dr Ritupurna Shinde performed her angiography is one of the best in Cardiology. Dr Nasim Shaikh use to update us daily about patients health and managed the patient very well. The staff is polite, energetic and responds well to all type of situation. A good hospital. Keep it up. "
5 stars,A very nice experience with very humble staff and trusted doctors. A very reliable hospital in the vicinity with well maintained hygeine. Would recommend it further for good treatment. 
5 stars,very good service clean rooms and bigger rooms supportive and understanding staff 
5 stars,"Treatment and interaction with patients is very good and kind.
Came for a skin treatment and digestion complaint, both were resolved with ease and immediately. "
5 stars,"Excellent hospitality and spacious hospital, top quality and experienced doctors, worth mentioning the staff support and special mention for the top quality nurses at olive hospital.
A family feel hospital.
No doubt the best hospital in kondwa I had seen in so many years. "
5 stars,"Good care provided by doctors and nurses to the patient.
Especially night shift staffs. "
1 star,Hospitality Is Good But Only They Don’t Told You About Charges Which Is They Add In Bill So Please Check And Sure Before Admission Your Patient 
5 stars,"Hospital is very neat and tidy,Dr’s are very good,working and the non working staff are very helpful and polite throughout there work "
5 stars,"I am so happy with the Dr.Naseem ma'am and Dr.Sushmita nimbalkar ma'am and entire team of Birthplace of my daughter all are so sweet, humble and polite especially recipition people.. "
5 stars,"Really nice hospital, well equipped, very clean and well maintained. Has good courteous staff and doctors. Would definitely recommend to others in the area "
5 stars,"Best hospital in kondwa area treats as it is our own hospital you can rely 100%  on emergency services sharing my own experience
May God prosper olive hospital "
4 stars,A very good hospital....staff is very co-operative and supportive 
5 stars,Nice hospital alhamdulillah .nice staff and Doctor good management. They are wellcome with  happily 
5 stars,"Very clean hygienic, staff behavior is good, proper sanitation, medical staff is very good, doctors are excellent "
1 star,"were not given adequate information about services or treatments, including costs, so that you could make an informed choice "
5 stars,I am working at this hospital as a pharmacist and the working ambience as well as the service both are at its best. Would recommend it for both job as well as for its hospitality and service. 
5 stars,"Nice hospitality, nice staff,clean and hygienic ,has various types of doctor "
5 stars,"Very good experience.Staff,nurses,doctors all were very kind and co-operative.All latest facilities are available. "
5 stars,One of the best hospitals in Pune! 
5 stars,Nice hospital dr. Are caring nd hospitable 🤗 … 
5 stars,Very good services and  very kind staff 
5 stars,Staf was helpful and supportive 
5 stars,Excellent treatment and good support staffs. 
5 stars,The best hospital I have come across 
5 stars,Very nice service and very helpful nature of staff 
5 stars,Best service in Maharashtra 
5 stars,Really the doctors and the stuffs are very supportive..... 
5 stars,The hospital you trust to care for those you love. 
5 stars,Good and clean hospital 
5 stars,Excellent hospital in Kondhwa 
5 stars,Very co operative 
5 stars,"Olive Hospital is the best hospital I ever experienced. Staff here are fabulous and gives 100% attention to the patients. Special THANKS to Dr. Swapneel Patil & Dr. Misbaah Miza. Both are superb👌Hats-off. They both are doing really great job😊 They are genuinely very positive, supportive and dedicated towards their work. I pray to God🙏 both keep doing their best in their future carrier🙏!!! All the best!👍
Thank you so much for your support!!!!🙏😊😊

I genuinely recommend Olive Hospital 🏥 & Inaara Clinic for complete women care (Obstetrician & Gynaecologist) in Pune. "
5 stars,"Here in this hospital I had brought my wife due to stomach ache, all the doctors are here.
Yes, the disease has also gone away, Dr Suhas Rajput is a very good doctor, Dr Naseem has given me a lot
Help me and the bill didn't get charged too much. This hospital is very clean and my money too
Not that much damage. Thank you "
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
4 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
